"DisplayName","Enabled","Direction","Action","Profile"
"AD-DNS-TCP-53","True","Inbound","Allow","Domain"
"AD-DNS-UDP-53","True","Inbound","Allow","Domain"
"AD-Kerberos-TCP-88","True","Inbound","Allow","Domain"
"AD-Kerberos-UDP-88","True","Inbound","Allow","Domain"
"AD-LDAP-TCP-389","True","Inbound","Allow","Domain"
"AD-LDAP-UDP-389","True","Inbound","Allow","Domain"
"AD-LDAPS-TCP-636","True","Inbound","Allow","Domain"
"AD-GlobalCatalog-TCP-3268-3269","True","Inbound","Allow","Domain"
"AD-SMB-TCP-445","True","Inbound","Allow","Domain"
"AD-RPC-TCP-135","True","Inbound","Allow","Domain"
"AD-RDP-TCP-3389-Admin","True","Inbound","Allow","Domain"
