"Name","DisplayName","InstallState"
"DNS","Serveur DNS","Installed"
"AD-Domain-Services","Services de domaine Active Directory","Installed"
"FileAndStorage-Services","Services de fichiers et de stockage","Installed"
"File-Services","Services de fichiers et iSCSI","Installed"
"FS-FileServer","Serveur de fichiers","Installed"
"Storage-Services","Services de stockage","Installed"
"NET-Framework-45-Features",".NET Framework 4.8 Features","Installed"
"NET-Framework-45-Core",".NET Framework 4.8","Installed"
"NET-WCF-Services45","Services WCF","Installed"
"NET-WCF-TCP-PortSharing45","Partage de port TCP","Installed"
"Windows-Defender","Antivirus Microsoft Defender","Installed"
"GPMC","Gestion de stratégie de groupe","Installed"
"RSAT","Outils d’administration de serveur distant","Installed"
"RSAT-Role-Tools","Outils d’administration de rôles","Installed"
"RSAT-AD-Tools","Outils AD DS et AD LDS","Installed"
"RSAT-AD-PowerShell","Module Active Directory pour Windows PowerShell","Installed"
"WoW64-Support","Prise en charge WoW64","Installed"
"System-DataArchiver","Programme d'archivage de données système","Installed"
"PowerShellRoot","Windows PowerShell","Installed"
"PowerShell","Windows PowerShell 5.1","Installed"
